code_understandability,explanation_quality,educational_value,perceived_code_quality,perceived_security,best_aspect,improvement_needed,session_id
8,8,7,7,8,Açıklamalar çok netti,Daha fazla örnek olabilir,1
9,10,9,8,9,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,2
7,9,9,9,8,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,3
8,7,9,9,8,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,4
7,8,8,7,6,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,5
8,6,8,8,8,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,6
7,8,7,7,9,Örnekler gerçekçiydi,Daha fazla örnek olabilir,7
8,10,10,9,8,Adım adım öğretiyordu,Görsel diyagramlar olabilir,8
7,6,6,8,8,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,9
9,9,7,8,7,Açıklamalar çok netti,Daha detaylı güvenlik analizi,10
7,7,8,8,8,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,11
8,10,9,8,10,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,12
7,7,7,7,8,Örnekler gerçekçiydi,Daha fazla örnek olabilir,13
7,9,8,8,8,Kod kalitesi iyiydi,Daha detaylı güvenlik analizi,14
8,7,8,8,8,Güvenlik konusunda bilinçliydi,,15
9,9,9,9,9,Açıklamalar çok netti,Görsel diyagramlar olabilir,16
7,6,8,6,7,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,17
8,7,9,9,9,Adım adım öğretiyordu,,18
10,10,10,10,10,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,19
9,8,9,7,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,20
9,9,10,9,9,Örnekler gerçekçiydi,,21
9,10,9,10,9,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,22
10,9,9,10,10,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,23
8,8,10,9,10,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,24
9,10,9,9,9,Örnekler gerçekçiydi,,25
8,8,8,9,9,Güvenlik konusunda bilinçliydi,Daha fazla örnek olabilir,26
8,10,9,10,10,Kod kalitesi iyiydi,Gas optimizasyonu eklenebilir,27
7,8,9,8,9,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,28
10,9,10,8,8,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,29
9,10,10,10,9,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,30
8,8,9,8,10,Kod kalitesi iyiydi,,31
7,8,7,7,9,Güvenlik konusunda bilinçliydi,,32
9,9,9,9,9,Adım adım öğretiyordu,Görsel diyagramlar olabilir,33
7,7,8,7,9,Adım adım öğretiyordu,Gas optimizasyonu eklenebilir,34
7,7,8,9,8,Adım adım öğretiyordu,Daha detaylı güvenlik analizi,35
9,8,8,9,8,Güvenlik konusunda bilinçliydi,Daha detaylı güvenlik analizi,36
7,8,7,7,8,Örnekler gerçekçiydi,Görsel diyagramlar olabilir,37
9,8,7,8,7,Güvenlik konusunda bilinçliydi,Görsel diyagramlar olabilir,38
8,7,8,9,7,Örnekler gerçekçiydi,Gas optimizasyonu eklenebilir,39
10,10,10,9,8,Örnekler gerçekçiydi,Daha fazla örnek olabilir,40
9,8,9,7,9,Güvenlik konusunda bilinçliydi,Gas optimizasyonu eklenebilir,41
8,7,7,8,6,Örnekler gerçekçiydi,Daha fazla örnek olabilir,42
10,10,9,8,8,Güvenlik konusunda bilinçliydi,,43
10,8,9,8,9,Kod kalitesi iyiydi,Daha fazla örnek olabilir,44
8,10,9,9,8,Adım adım öğretiyordu,Görsel diyagramlar olabilir,45
10,9,9,9,8,Adım adım öğretiyordu,,46
