mental_demand,physical_demand,temporal_demand,performance,effort,frustration,total_cognitive_load,session_id
7,2,8,4,6,6,35,1
6,2,5,4,5,7,31,2
8,2,7,3,5,6,35,3
7,3,6,3,6,7,36,4
6,3,6,4,8,8,37,5
6,3,6,5,8,8,36,6
8,3,7,4,7,7,38,7
5,2,7,7,7,6,30,8
6,3,8,5,8,5,35,9
6,1,6,6,6,5,28,10
7,1,7,3,6,4,32,11
8,3,7,2,6,5,37,12
7,1,5,5,6,5,29,13
8,2,8,4,8,8,40,14
6,1,7,5,8,5,32,15
5,2,6,6,5,7,29,16
8,1,8,4,8,5,36,17
8,1,6,3,7,7,36,18
4,2,5,8,4,5,22,19
4,3,6,6,5,3,25,20
6,3,5,6,3,5,26,21
6,1,5,4,4,3,25,22
3,1,5,9,5,2,17,23
4,2,6,6,6,6,28,24
4,2,6,7,6,6,27,25
7,1,6,3,5,4,30,26
6,1,5,5,5,6,28,27
7,2,6,3,6,7,35,28
4,3,6,6,5,6,28,29
5,2,5,6,7,4,27,30
7,3,7,4,5,7,35,31
5,1,5,6,5,6,26,32
5,2,7,5,5,5,29,33
7,2,5,5,6,4,29,34
6,2,8,4,7,5,34,35
6,3,5,6,5,6,29,36
8,1,6,2,7,7,37,37
5,1,7,6,6,7,30,38
6,2,7,5,7,5,32,39
7,1,7,5,5,6,31,40
6,1,5,4,6,4,28,41
9,1,6,3,6,7,36,42
5,1,4,5,3,3,21,43
6,2,3,6,4,4,23,44
7,2,4,5,4,5,27,45
5,2,4,7,5,5,24,46
4,3,4,7,4,5,23,47
5,3,4,7,3,4,22,48
8,1,7,2,8,7,39,49
9,2,7,3,8,8,41,50
6,1,7,5,8,8,35,51
8,3,7,3,7,5,37,52
8,3,9,2,8,8,44,53
8,3,7,2,9,6,41,54
2,2,3,10,3,4,14,55
5,2,4,5,3,3,22,56
5,2,2,5,3,2,19,57
4,3,3,8,2,1,15,58
4,1,4,6,2,2,17,59
2,1,3,8,3,4,15,60
6,1,5,6,6,5,27,61
8,2,5,3,6,5,33,62
6,2,5,5,6,4,28,63
6,1,6,6,7,7,31,64
7,3,6,3,8,6,37,65
7,2,6,4,5,6,32,66
7,1,5,4,5,4,28,67
8,2,6,2,6,7,37,68
7,2,6,4,5,4,30,69
6,2,6,4,6,6,32,70
6,3,6,5,5,7,32,71
6,2,6,5,6,5,30,72
9,1,8,1,6,7,40,73
6,2,5,4,6,4,29,74
6,1,6,6,7,7,31,75
6,3,8,4,7,5,35,76
8,1,6,4,5,5,31,77
8,3,7,4,6,4,34,78
6,1,3,6,3,5,22,79
6,3,5,5,3,2,24,80
4,2,5,8,3,2,18,81
5,1,4,5,5,3,23,82
4,2,3,8,4,2,17,83
6,1,3,4,5,5,26,84
6,3,5,5,6,4,29,85
7,2,6,3,5,5,32,86
5,3,6,6,5,4,27,87
5,2,5,5,7,7,31,88
8,3,6,3,7,7,38,89
7,3,7,4,7,4,34,90
4,2,4,8,5,4,21,91
6,1,4,4,3,2,22,92
4,3,3,8,3,4,19,93
5,3,5,7,4,3,23,94
3,3,4,9,4,3,18,95
5,2,5,5,3,5,25,96
7,2,7,4,7,4,33,97
8,3,5,4,5,5,32,98
5,3,4,5,5,5,27,99
6,1,4,6,4,3,22,100
7,1,6,4,6,4,30,101
8,1,6,4,5,4,30,102
6,1,6,4,5,5,29,103
6,3,7,6,5,6,31,104
7,1,6,5,6,5,30,105
7,3,5,4,6,5,32,106
7,3,6,3,7,5,35,107
6,3,7,5,6,5,32,108
5,1,5,6,5,7,27,109
8,3,5,4,7,5,34,110
7,3,5,5,7,5,32,111
7,2,5,5,7,5,31,112
6,1,7,6,5,7,30,113
8,3,7,3,5,6,36,114
5,3,7,5,5,7,32,115
5,2,7,6,7,4,29,116
7,3,8,5,7,6,36,117
6,1,7,5,7,7,33,118
7,1,7,3,6,4,32,119
6,2,5,4,7,5,31,120
5,1,5,7,6,3,23,121
6,1,4,5,6,6,28,122
4,3,6,6,4,6,27,123
4,3,6,6,6,3,26,124
8,3,5,4,5,5,32,125
5,3,5,6,4,4,25,126
9,2,8,2,6,7,40,127
6,3,6,4,7,5,33,128
8,1,7,2,5,7,36,129
7,2,8,4,7,8,38,130
6,3,6,4,6,7,34,131
5,2,7,6,6,5,29,132
8,2,8,2,6,6,38,133
9,1,8,1,7,7,41,134
8,2,8,4,8,7,39,135
10,2,8,1,8,6,43,136
6,2,7,6,7,6,32,137
6,1,7,4,7,7,34,138
4,1,4,6,4,3,20,139
4,3,4,7,4,4,22,140
7,2,7,4,6,7,35,141
5,1,4,6,5,4,23,142
