preferred_ai,preferred_ai_reason,learning_better_ai,speed_better_ai,comfort_similar,development_complementary,clarity_similar,quality_complementary,hybrid_ideal,blockchain_view_change,ai_learning_rating,would_recommend,hardest_task,ai_potential,suggestions,blockchain_education_view,participant_uuid
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,7,8,9,"Kısmen, bazı konular netleşti",7,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_001
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,8,9,"Evet, artık blockchain daha anlaşılır",8,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_002
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,8,8,"Evet, artık blockchain daha anlaşılır",10,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_003
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,7,8,9,"Evet, artık blockchain daha anlaşılır",10,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_004
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,8,8,7,"Evet, artık blockchain daha anlaşılır",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_005
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,9,7,7,"Evet, artık blockchain daha anlaşılır",9,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_006
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,7,8,"Hayır, zaten bilgim vardı",9,Evet,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_007
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,9,7,7,"Kısmen, bazı konular netleşti",10,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_008
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,7,8,8,9,"Kısmen, bazı konular netleşti",9,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_009
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,9,7,7,7,"Kısmen, bazı konular netleşti",10,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_010
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,8,9,"Evet, artık blockchain daha anlaşılır",7,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_011
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,8,7,"Hayır, zaten bilgim vardı",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_012
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,8,"Evet, artık blockchain daha anlaşılır",10,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_013
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,8,7,9,"Kısmen, bazı konular netleşti",7,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_014
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,7,8,9,"Evet, artık blockchain daha anlaşılır",9,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_015
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,8,8,8,"Kısmen, bazı konular netleşti",10,Kısmen,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_016
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,7,7,9,"Evet, artık blockchain daha anlaşılır",9,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_017
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,8,9,"Hayır, zaten bilgim vardı",8,Kısmen,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_018
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,8,7,8,"Kısmen, bazı konular netleşti",9,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_019
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,7,8,9,"Kısmen, bazı konular netleşti",8,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,,AI destekli eğitim gelecek vaat ediyor,participant_020
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,7,9,"Evet, artık blockchain daha anlaşılır",7,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_021
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,8,9,8,8,"Evet, artık blockchain daha anlaşılır",8,Evet,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_022
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,8,7,7,"Hayır, zaten bilgim vardı",8,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_023
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,8,8,7,8,"Evet, artık blockchain daha anlaşılır",9,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_024
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,7,8,"Kısmen, bazı konular netleşti",9,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_025
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,7,8,9,"Evet, artık blockchain daha anlaşılır",10,Kısmen,Voting System - Basit oylama mekanizması,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_026
Similar,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,7,7,"Hayır, zaten bilgim vardı",10,Kısmen,NFT Minting - ERC721 benzeri NFT,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_027
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,7,8,7,"Evet, artık blockchain daha anlaşılır",10,Evet,Staking Contract - Token stake etme,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_028
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,8,8,"Evet, artık blockchain daha anlaşılır",9,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_029
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,7,7,9,7,7,"Evet, artık blockchain daha anlaşılır",7,Evet,Escrow Contract - Güvenli ödeme sistemi,Blockchain eğitiminde AI çok faydalı,Görsel diyagramlar eklenebilir,AI destekli eğitim gelecek vaat ediyor,participant_030
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,8,9,9,8,7,"Hayır, zaten bilgim vardı",9,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_031
Complementary,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,7,7,7,9,"Kısmen, bazı konular netleşti",7,Kısmen,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha interaktif olabilir,AI destekli eğitim gelecek vaat ediyor,participant_032
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,8,9,7,8,"Kısmen, bazı konular netleşti",9,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_033
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,7,7,7,"Hayır, zaten bilgim vardı",9,Evet,Token Transfer Contract - ERC20 benzeri basit token,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_034
Hibrit,Bu mod benim seviyeme daha uygundu,Complementary,Similar,9,9,9,8,8,"Evet, artık blockchain daha anlaşılır",8,Evet,Auction System - Açık artırma sistemi,Blockchain eğitiminde AI çok faydalı,Daha fazla örnek olabilir,AI destekli eğitim gelecek vaat ediyor,participant_035
