session_id,participant_uuid,task_number,task_name,assigned_ai_type,assigned_persona,status,duration_minutes,started_at,completed_at
1,participant_001,1,Token Transfer Contract - ERC20 benzeri basit token,Complementary,Deniz - DApp Architect,Completed,35,2025-08-15T11:18:36.682852,2025-08-15T11:18:36.682852
2,participant_001,2,Voting System - Basit oylama mekanizması,Similar,Elif - Security Aware,Completed,47,2025-08-15T11:18:36.682852,2025-08-15T11:18:36.682852
3,participant_001,3,Escrow Contract - Güvenli ödeme sistemi,Similar,Elif - Security Aware,Completed,45,2025-08-15T11:18:36.682852,2025-08-15T11:18:36.682852
4,participant_001,4,NFT Minting - ERC721 benzeri NFT,Similar,Elif - Security Aware,Completed,54,2025-08-15T11:18:36.682852,2025-08-15T11:18:36.682852
5,participant_001,5,Staking Contract - Token stake etme,Complementary,Deniz - DApp Architect,Completed,54,2025-08-15T11:18:36.682852,2025-08-15T11:18:36.682852
6,participant_001,6,Auction System - Açık artırma sistemi,Complementary,Deniz - DApp Architect,Completed,53,2025-08-15T11:18:36.682852,2025-08-15T11:18:36.682852
7,participant_002,1,Token Transfer Contract - ERC20 benzeri basit token,Similar,Prof. Mehmet - Academic,Completed,48,2025-08-31T11:18:36.683002,2025-08-31T11:18:36.683002
8,participant_002,2,Voting System - Basit oylama mekanizması,Similar,Prof. Mehmet - Academic,Completed,40,2025-08-31T11:18:36.683002,2025-08-31T11:18:36.683002
9,participant_002,3,Escrow Contract - Güvenli ödeme sistemi,Complementary,Ali - Facilitator,Completed,37,2025-08-31T11:18:36.683002,2025-08-31T11:18:36.683002
10,participant_002,4,NFT Minting - ERC721 benzeri NFT,Complementary,Ali - Facilitator,Completed,37,2025-08-31T11:18:36.683002,2025-08-31T11:18:36.683002
11,participant_002,5,Staking Contract - Token stake etme,Complementary,Ali - Facilitator,Completed,54,2025-08-31T11:18:36.683002,2025-08-31T11:18:36.683002
12,participant_002,6,Auction System - Açık artırma sistemi,Similar,Prof. Mehmet - Academic,Completed,35,2025-08-31T11:18:36.683002,2025-08-31T11:18:36.683002
