security_score,gas_optimization_score,code_quality_score,maintainability_score,production_readiness,auto_security_score,auto_gas_score,auto_complexity_score,code_id
8,9,7,7,8,80.0,94.0,98.0,1
6,7,6,8,7,65.0,75.0,92.0,2
4,5,5,8,7,40.0,48.0,94.0,3
9,6,7,8,6,95.0,59.0,100.0,4
5,7,6,8,9,55.0,70.0,100.0,5
7,4,8,8,7,66.0,36.0,100.0,6
8,7,7,8,7,75.0,65.0,100.0,7
6,8,8,6,8,65.0,79.0,100.0,8
5,7,9,9,7,50.0,68.0,100.0,9
7,8,6,7,8,68.0,85.0,97.0,10
8,9,7,8,6,81.0,90.0,98.0,11
7,9,7,7,7,66.0,95.0,100.0,12
7,3,7,7,7,75.0,34.0,96.0,13
5,5,8,9,7,49.0,52.0,92.0,14
7,8,6,7,6,69.0,81.0,100.0,15
7,7,7,6,8,73.0,65.0,100.0,16
6,5,7,9,7,56.0,54.0,100.0,17
7,6,4,8,7,72.0,61.0,100.0,18
7,4,9,8,8,68.0,36.0,96.0,19
9,4,8,9,8,92.0,42.0,100.0,20
7,5,5,9,9,66.0,48.0,100.0,21
5,9,6,7,7,47.0,89.0,100.0,22
7,9,4,7,9,71.0,95.0,100.0,23
4,4,8,7,8,43.0,37.0,99.0,24
7,5,10,7,7,70.0,48.0,97.0,25
5,8,9,9,9,51.0,80.0,100.0,26
8,10,7,6,6,84.0,100.0,100.0,27
7,7,7,8,7,69.0,65.0,100.0,28
6,10,8,8,7,57.0,98.0,94.0,29
6,8,8,7,9,58.0,82.0,90.0,30
7,4,7,6,6,70.0,38.0,94.0,31
7,4,8,6,8,66.0,42.0,100.0,32
4,5,8,8,9,44.0,51.0,93.0,33
8,8,9,8,6,84.0,83.0,100.0,34
5,6,6,6,6,54.0,65.0,100.0,35
8,3,6,8,6,80.0,31.0,93.0,36
5,7,7,7,7,50.0,68.0,100.0,37
3,7,6,8,9,25.0,70.0,100.0,38
8,8,5,6,6,82.0,82.0,100.0,39
10,7,5,7,8,100.0,75.0,100.0,40
4,5,9,6,6,44.0,47.0,100.0,41
5,6,2,7,7,49.0,62.0,100.0,42
6,7,9,9,9,64.0,68.0,94.0,43
5,7,7,8,8,50.0,73.0,100.0,44
7,8,10,10,9,71.0,80.0,95.0,45
6,7,7,8,8,65.0,65.0,92.0,46
6,8,8,7,7,55.0,77.0,100.0,47
8,7,6,9,7,76.0,68.0,94.0,48
9,5,8,7,5,87.0,55.0,89.0,49
8,8,9,6,7,84.0,77.0,80.0,50
7,6,7,6,6,69.0,62.0,70.0,51
5,4,9,6,7,52.0,43.0,78.0,52
7,5,7,8,8,69.0,52.0,70.0,53
5,6,8,8,8,52.0,55.0,74.0,54
6,7,5,7,9,64.0,68.0,97.0,55
7,9,8,9,9,65.0,87.0,100.0,56
7,6,8,7,9,75.0,61.0,100.0,57
7,7,8,9,8,70.0,74.0,97.0,58
7,5,7,8,7,73.0,52.0,91.0,59
10,5,8,9,9,96.0,55.0,100.0,60
3,5,6,8,8,28.0,51.0,99.0,61
8,5,6,8,7,81.0,53.0,100.0,62
9,5,4,7,6,93.0,50.0,99.0,63
4,5,7,9,9,45.0,50.0,98.0,64
5,6,7,9,8,45.0,55.0,100.0,65
4,9,8,8,8,35.0,86.0,100.0,66
10,10,7,8,7,100.0,100.0,100.0,67
5,8,9,9,9,53.0,81.0,93.0,68
6,8,9,7,9,65.0,82.0,100.0,69
4,6,8,7,7,41.0,60.0,93.0,70
4,8,8,6,7,43.0,84.0,100.0,71
7,8,5,8,6,70.0,79.0,100.0,72
6,4,10,7,8,65.0,42.0,100.0,73
6,6,8,6,8,61.0,61.0,95.0,74
6,2,5,6,8,55.0,18.0,99.0,75
8,7,10,9,9,85.0,71.0,95.0,76
4,7,6,8,8,39.0,75.0,100.0,77
10,8,7,7,8,100.0,77.0,100.0,78
5,6,6,7,7,51.0,56.0,93.0,79
4,7,6,8,8,39.0,75.0,92.0,80
7,5,7,8,7,65.0,54.0,92.0,81
6,8,8,10,8,55.0,78.0,92.0,82
4,7,6,9,7,42.0,72.0,100.0,83
4,6,7,9,8,36.0,63.0,91.0,84
6,6,6,8,9,56.0,64.0,93.0,85
8,4,8,7,7,76.0,43.0,100.0,86
8,6,8,6,6,76.0,55.0,91.0,87
9,7,8,6,6,89.0,69.0,100.0,88
7,6,7,9,7,65.0,59.0,91.0,89
9,6,4,7,8,85.0,56.0,91.0,90
7,6,8,7,9,70.0,64.0,97.0,91
4,8,8,9,8,37.0,81.0,100.0,92
7,7,6,7,7,66.0,70.0,96.0,93
7,5,8,7,8,71.0,52.0,100.0,94
6,4,6,8,8,56.0,41.0,91.0,95
8,9,8,8,9,77.0,87.0,100.0,96
8,6,7,8,6,76.0,59.0,100.0,97
7,8,8,8,7,69.0,76.0,99.0,98
10,9,10,7,8,100.0,94.0,100.0,99
7,8,4,7,7,71.0,81.0,100.0,100
5,3,8,7,7,49.0,34.0,99.0,101
6,9,7,8,7,57.0,94.0,95.0,102
6,8,10,7,8,65.0,75.0,100.0,103
10,6,7,7,6,100.0,64.0,93.0,104
6,5,7,7,7,59.0,52.0,91.0,105
6,9,3,8,6,56.0,87.0,91.0,106
6,6,5,7,7,65.0,65.0,100.0,107
8,9,8,7,6,82.0,95.0,90.0,108
6,6,8,7,6,60.0,56.0,100.0,109
5,7,8,7,7,54.0,68.0,98.0,110
8,6,6,8,8,81.0,65.0,100.0,111
4,7,5,8,9,40.0,73.0,91.0,112
7,6,6,7,8,72.0,57.0,91.0,113
